elapsed_s,stream,joint,deg
42.6815,neck,head_2,-18.457
42.6816,arm,left_shoulder_2,21.587
42.6816,arm,left_elbow,-79.026
42.6823,maxon,left_wrist,17.480
42.6826,maxon,right_wrist,-40.528
42.6833,maxon,left_wrist,16.948
42.6834,maxon,right_wrist,-40.585
42.6838,maxon,left_wrist,16.415
42.6840,maxon,right_wrist,-40.643
42.6844,arm,left_elbow,-78.889
42.6855,maxon,left_wrist,15.883
42.6857,maxon,right_wrist,-40.701
42.6861,maxon,left_wrist,15.351
42.6862,maxon,right_wrist,-40.759
42.6865,neck,head_2,-18.369
42.6866,arm,left_shoulder_2,21.670
42.6866,arm,left_elbow,-78.799
42.6874,maxon,left_wrist,14.821
42.6876,maxon,right_wrist,-40.819
42.6883,maxon,left_wrist,14.268
42.6890,maxon,left_wrist,13.718
42.6891,maxon,right_wrist,-40.904
42.6896,arm,left_elbow,-78.678
42.6908,maxon,left_wrist,13.166
42.6917,maxon,left_wrist,12.616
42.6919,maxon,right_wrist,-40.992
42.6924,maxon,left_wrist,12.064
42.6932,maxon,left_wrist,11.494
42.6936,maxon,right_wrist,-41.062
42.6941,maxon,left_wrist,10.924
42.6946,neck,head_2,-18.281
42.6947,arm,left_shoulder_2,21.778
42.6947,arm,left_elbow,-78.509
42.6947,arm,right_elbow,82.998
42.6958,maxon,left_wrist,10.351
42.6961,maxon,right_wrist,-41.120
42.6965,maxon,left_wrist,9.781
42.6971,maxon,left_wrist,9.211
42.6974,maxon,right_wrist,-41.176
42.6978,maxon,left_wrist,8.621
42.6987,neck,head_2,-18.193
42.6988,arm,left_elbow,-78.409
42.6997,maxon,left_wrist,8.031
42.7007,maxon,left_wrist,7.441
42.7014,maxon,left_wrist,6.850
42.7016,maxon,right_wrist,-41.231
42.7020,maxon,left_wrist,6.260
42.7024,neck,head_2,-18.018
42.7025,arm,left_shoulder_2,21.841
42.7025,arm,left_elbow,-78.356
42.7036,maxon,left_wrist,6.007
42.7042,maxon,left_wrist,5.756
42.7048,arm,right_shoulder_2,-21.661
42.7058,maxon,left_wrist,5.504
42.7064,maxon,left_wrist,5.253
42.7070,maxon,left_wrist,5.002
42.7074,neck,head_2,-17.930
42.7076,arm,right_elbow,82.936
42.7084,maxon,left_wrist,5.457
42.7092,maxon,left_wrist,5.914
42.7097,arm,left_elbow,-78.306
42.7106,maxon,left_wrist,6.371
42.7112,maxon,left_wrist,6.828
42.7117,neck,head_2,-17.842
42.7125,maxon,left_wrist,7.285
42.7130,maxon,left_wrist,7.727
42.7143,maxon,left_wrist,8.169
42.7145,maxon,right_wrist,-41.170
42.7155,maxon,left_wrist,8.608
42.7161,maxon,left_wrist,9.050
42.7166,neck,head_2,-17.754
42.7175,maxon,left_wrist,9.492
